time,x,y,z
4540.0,-5725723.004514677,204624.37351905386,3824965.334741418
4560.0,-5737653.353539964,53799.579865765845,3804648.971081844
4580.0,-5746780.204239329,-97051.92154763137,3782473.6141683105
4600.0,-5753094.575605028,-247855.259005785,3758447.31516641
4620.0,-5756586.581354601,-398536.95535005926,3732578.2565009436
4640.0,-5757251.991463103,-549023.1660113657,3704874.9866693835
4660.0,-5755084.072858384,-699239.4242002157,3675349.0286644353
4680.0,-5750079.438678487,-849111.1243896396,3644011.9082247037
4700.0,-5742235.207771223,-998562.902695367,3610875.0975471297
4720.0,-5731550.676561554,-1147521.1407430656,3575951.7187633603
4740.0,-5718026.097857072,-1295910.3351506605,3539256.5275972206
4760.0,-5701663.032738194,-1443656.566859458,3500804.424585632
4780.0,-5682465.28986976,-1590685.3951259532,3460612.9532908583
4800.0,-5660437.366692844,-1736921.1205021413,3418696.027547908
4820.0,-5635586.623030267,-1882290.5066482958,3375074.965659672
4840.0,-5607918.77535518,-2026719.8995606184,3329767.3313042196
4860.0,-5577444.3240186,-2170134.188236551,3282792.461945973
4880.0,-5544174.933051091,-2312461.2951707724,3234173.2800595076
4900.0,-5508119.796815462,-2453626.7633308163,3183929.524376811
4920.0,-5469297.20018035,-2593559.316486973,3132083.9908114066
4940.0,-5427718.809367126,-2732184.412822828,3078662.0186641673
4960.0,-5383404.056858562,-2869432.2108355253,3023687.566031314
4980.0,-5336368.428253858,-3005230.093836478,2967185.020594275
5000.0,-5286634.485371626,-3139507.7738245754,2909181.386305035
5020.0,-5234221.651748805,-3272196.022793782,2849704.075911313
5040.0,-5179153.708251932,-3403222.919288096,2788781.635122538
5060.0,-5121455.421868583,-3532522.382831738,2726442.3773610247
5080.0,-5061151.190810924,-3660023.9066734025,2662715.8393047834
5100.0,-4998268.934864947,-3785661.273031851,2597632.7218349054
5120.0,-4932838.204857232,-3909368.270238433,2531225.8909154464
5140.0,-4864888.906660848,-4031077.9985322757,2463526.418225055
5160.0,-4794450.572444315,-4150727.812374373,2394566.217969417
5180.0,-4721560.423092399,-4268252.44872083,2324381.8770910376
5200.0,-4646248.9922786625,-4383590.604225542,2253006.103627902
5220.0,-4568555.0208670795,-4496678.566086746,2180473.9811299015
5240.0,-4488514.343945489,-4607457.838899974,2106821.7405151725
5260.0,-4406165.44171166,-4715868.269358593,2032086.1997402648
5280.0,-4321548.637774908,-4821851.414296434,1956306.0008695414
5300.0,-4234706.503055644,-4925350.017477259,1879516.5716366244
5320.0,-4145679.461167066,-5026309.234142817,1801759.1640205325
5340.0,-4054514.432454483,-5124674.179476522,1723070.5876994596
5360.0,-3961253.9010632755,-5220392.844352901,1643492.7314805996
5380.0,-3865945.7137495503,-5313411.398152369,1563065.1696457167
5400.0,-3768636.8655653223,-5403681.667475101,1481829.379921033
5420.0,-3669377.0897966507,-5491153.282545084,1399825.4195933284
5440.0,-3568215.912102019,-5575779.392855148,1317096.1323433162
5460.0,-3465204.1065405654,-5657514.65515539,1233684.5940765121
